crit_beds,std_beds,pool,thy_rho,thy_Lq,thy_Wq,thy_stable,sim_rho,sim_Lq,sim_Wq
4,1,critical,0.5278,0.1161,1.7410,1,0.5470,0.1361,1.8773
4,1,standard,1.6667,inf,inf,0,0.9987,91.4445,1054.3817
4,2,critical,0.5278,0.1161,1.7410,1,0.5210,0.1427,2.0459
4,2,standard,0.8333,1.9602,19.6023,1,0.7690,1.4317,14.7914
4,3,critical,0.5278,0.1161,1.7410,1,0.5281,0.1697,2.3230
4,3,standard,0.5556,0.1939,1.9391,1,0.5117,0.1294,1.3450
4,4,critical,0.5278,0.1161,1.7410,1,0.5247,0.0914,1.3027
4,4,standard,0.4167,0.0379,0.3788,1,0.3920,0.0209,0.2190
4,5,critical,0.5278,0.1161,1.7410,1,0.5327,0.0884,1.2571
4,5,standard,0.3333,0.0078,0.0783,1,0.3110,0.0052,0.0537
4,6,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,6,standard,0.2778,0.0015,0.0155,1,0.2590,0.0002,0.0022
4,7,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,7,standard,0.2381,0.0003,0.0028,1,0.2220,0.0000,0.0000
4,8,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,8,standard,0.2083,0.0000,0.0005,1,0.1942,0.0000,0.0000
4,9,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,9,standard,0.1852,0.0000,0.0001,1,0.1726,0.0000,0.0000
4,10,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,10,standard,0.1667,0.0000,0.0000,1,0.1554,0.0000,0.0000
4,11,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,11,standard,0.1515,0.0000,0.0000,1,0.1412,0.0000,0.0000
4,12,critical,0.5278,0.1161,1.7410,1,0.5305,0.0889,1.2627
4,12,standard,0.1389,0.0000,0.0000,1,0.1295,0.0000,0.0000
5,1,critical,0.4222,0.0272,0.4079,1,0.4406,0.0231,0.3181
5,1,standard,1.6667,inf,inf,0,0.9987,94.2395,1107.9104
5,2,critical,0.4222,0.0272,0.4079,1,0.4150,0.0405,0.5973
5,2,standard,0.8333,1.9602,19.6023,1,0.7490,1.3802,14.4892
5,3,critical,0.4222,0.0272,0.4079,1,0.4181,0.0258,0.3745
5,3,standard,0.5556,0.1939,1.9391,1,0.5075,0.1166,1.2310
5,4,critical,0.4222,0.0272,0.4079,1,0.4240,0.0275,0.3946
5,4,standard,0.4167,0.0379,0.3788,1,0.3876,0.0206,0.2191
5,5,critical,0.4222,0.0272,0.4079,1,0.4227,0.0153,0.2174
5,5,standard,0.3333,0.0078,0.0783,1,0.3067,0.0044,0.0416
5,6,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,6,standard,0.2778,0.0015,0.0155,1,0.2558,0.0002,0.0023
5,7,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,7,standard,0.2381,0.0003,0.0028,1,0.2193,0.0000,0.0000
5,8,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,8,standard,0.2083,0.0000,0.0005,1,0.1919,0.0000,0.0000
5,9,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,9,standard,0.1852,0.0000,0.0001,1,0.1705,0.0000,0.0000
5,10,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,10,standard,0.1667,0.0000,0.0000,1,0.1535,0.0000,0.0000
5,11,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,11,standard,0.1515,0.0000,0.0000,1,0.1395,0.0000,0.0000
5,12,critical,0.4222,0.0272,0.4079,1,0.4198,0.0147,0.2173
5,12,standard,0.1389,0.0000,0.0000,1,0.1279,0.0000,0.0000
6,1,critical,0.3519,0.0064,0.0958,1,0.3699,0.0075,0.1027
6,1,standard,1.6667,inf,inf,0,0.9987,86.0470,1034.3375
6,2,critical,0.3519,0.0064,0.0958,1,0.3521,0.0120,0.1799
6,2,standard,0.8333,1.9602,19.6023,1,0.7538,1.3606,14.3040
6,3,critical,0.3519,0.0064,0.0958,1,0.3533,0.0100,0.1435
6,3,standard,0.5556,0.1939,1.9391,1,0.5030,0.1116,1.1828
6,4,critical,0.3519,0.0064,0.0958,1,0.3547,0.0069,0.0970
6,4,standard,0.4167,0.0379,0.3788,1,0.3888,0.0186,0.2044
6,5,critical,0.3519,0.0064,0.0958,1,0.3544,0.0072,0.0965
6,5,standard,0.3333,0.0078,0.0783,1,0.3064,0.0039,0.0402
6,6,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,6,standard,0.2778,0.0015,0.0155,1,0.2554,0.0002,0.0023
6,7,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,7,standard,0.2381,0.0003,0.0028,1,0.2189,0.0000,0.0000
6,8,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,8,standard,0.2083,0.0000,0.0005,1,0.1915,0.0000,0.0000
6,9,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,9,standard,0.1852,0.0000,0.0001,1,0.1703,0.0000,0.0000
6,10,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,10,standard,0.1667,0.0000,0.0000,1,0.1532,0.0000,0.0000
6,11,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,11,standard,0.1515,0.0000,0.0000,1,0.1393,0.0000,0.0000
6,12,critical,0.3519,0.0064,0.0958,1,0.3539,0.0073,0.0965
6,12,standard,0.1389,0.0000,0.0000,1,0.1277,0.0000,0.0000
7,1,critical,0.3016,0.0014,0.0214,1,0.3116,0.0000,0.0000
7,1,standard,1.6667,inf,inf,0,0.9987,88.4225,1037.9592
7,2,critical,0.3016,0.0014,0.0214,1,0.3055,0.0131,0.1809
7,2,standard,0.8333,1.9602,19.6023,1,0.7413,1.3016,13.9078
7,3,critical,0.3016,0.0014,0.0214,1,0.3013,0.0030,0.0430
7,3,standard,0.5556,0.1939,1.9391,1,0.5034,0.1113,1.1817
7,4,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,4,standard,0.4167,0.0379,0.3788,1,0.3881,0.0187,0.2053
7,5,critical,0.3016,0.0014,0.0214,1,0.3028,0.0005,0.0066
7,5,standard,0.3333,0.0078,0.0783,1,0.3062,0.0039,0.0402
7,6,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,6,standard,0.2778,0.0015,0.0155,1,0.2553,0.0002,0.0023
7,7,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,7,standard,0.2381,0.0003,0.0028,1,0.2188,0.0000,0.0000
7,8,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,8,standard,0.2083,0.0000,0.0005,1,0.1915,0.0000,0.0000
7,9,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,9,standard,0.1852,0.0000,0.0001,1,0.1702,0.0000,0.0000
7,10,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,10,standard,0.1667,0.0000,0.0000,1,0.1532,0.0000,0.0000
7,11,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,11,standard,0.1515,0.0000,0.0000,1,0.1392,0.0000,0.0000
7,12,critical,0.3016,0.0014,0.0214,1,0.3025,0.0005,0.0066
7,12,standard,0.1389,0.0000,0.0000,1,0.1276,0.0000,0.0000
8,1,critical,0.2639,0.0003,0.0044,1,0.2727,0.0000,0.0000
8,1,standard,1.6667,inf,inf,0,0.9987,88.4225,1037.9592
8,2,critical,0.2639,0.0003,0.0044,1,0.2661,0.0055,0.0744
8,2,standard,0.8333,1.9602,19.6023,1,0.7389,1.2981,13.9644
8,3,critical,0.2639,0.0003,0.0044,1,0.2646,0.0005,0.0065
8,3,standard,0.5556,0.1939,1.9391,1,0.5039,0.1116,1.1802
8,4,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,4,standard,0.4167,0.0379,0.3788,1,0.3881,0.0187,0.2053
8,5,critical,0.2639,0.0003,0.0044,1,0.2649,0.0000,0.0000
8,5,standard,0.3333,0.0078,0.0783,1,0.3062,0.0039,0.0402
8,6,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,6,standard,0.2778,0.0015,0.0155,1,0.2553,0.0002,0.0023
8,7,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,7,standard,0.2381,0.0003,0.0028,1,0.2188,0.0000,0.0000
8,8,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,8,standard,0.2083,0.0000,0.0005,1,0.1915,0.0000,0.0000
8,9,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,9,standard,0.1852,0.0000,0.0001,1,0.1702,0.0000,0.0000
8,10,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,10,standard,0.1667,0.0000,0.0000,1,0.1532,0.0000,0.0000
8,11,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,11,standard,0.1515,0.0000,0.0000,1,0.1392,0.0000,0.0000
8,12,critical,0.2639,0.0003,0.0044,1,0.2647,0.0000,0.0000
8,12,standard,0.1389,0.0000,0.0000,1,0.1276,0.0000,0.0000
